Capacity,RatedHead,NPSH,Efficiency,MinHead,MaxHead,Power,Head (600 rpm),Head (1200 rpm),Head (1500 rpm),Head (2200 rpm),Head (2800 rpm)
1242.1382,2968.2173,30.3605,0.7416,2052.9831,3062.1038,1255.3393,,,,,1490.3917
1259.8831,2946.2871,31.0933,0.7449,2024.0931,3040.6935,1258.1378,,,,,1454.9963
1277.6279,2923.4164,31.8365,0.7479,1993.9264,3018.3682,1260.9333,,,,,1418.0259
1295.3727,2899.5755,32.5894,0.7504,1962.4429,2995.0992,1263.7303,,,,,1379.4316
1313.1176,2874.7343,33.3514,0.7525,1929.602,2970.8568,1266.5334,,,,,1339.1634
1330.8624,2848.8624,34.1219,0.7541,1895.3627,2945.6118,1269.3473,,,,,1297.1716
1348.6072,2821.9287,34.9,0.7552,1859.6831,2919.3338,1272.1768,,,,,1253.4048
1366.3521,2793.9016,35.6851,0.7558,1822.5205,2891.992,1275.0266,,,,,1207.8109
1380.2083,2771.2357,36.3026,0.756,1792.4431,2869.8825,1277.2692,,,,,1170.9046
1384.0969,2764.7494,36.4765,0.756,1783.8322,2863.5557,1277.9017,,,,,1160.3378
1386.2341,2761.1608,36.5722,0.7559,1779.0675,2860.0554,1278.2499,,,,,
1397.4324,2742.081,37.0749,0.7557,1753.7268,2841.4457,1280.0821,,,,,
1401.8417,2734.4396,37.2734,0.7556,1743.5744,2833.993,1280.8071,,,,,
1419.5866,2702.939,38.0749,0.7546,1701.7024,2803.2718,1283.7479,,,,,
1437.3314,2670.2146,38.8804,0.753,1658.1716,2771.3599,1286.7292,,,,,
1455.0762,2636.2323,39.6888,0.7509,1612.9364,2738.2241,1289.7562,,,,,
1472.8211,2600.9577,40.4993,0.7481,1565.9501,2703.8309,1292.8344,,,,,
1490.5659,2564.3562,41.3111,0.7447,1517.1664,2668.1467,1295.9689,,,,,
1508.3107,2526.3924,42.1232,0.7406,1466.5376,2631.137,1299.1653,,,,,
1526.0556,2487.0302,42.9347,0.7359,1414.0152,2592.7666,1302.4292,,,,,
1528.908,2480.5701,43.065,0.735,1405.3926,2586.4695,1302.9606,,,,,
1543.8004,2446.2339,43.7446,0.7304,,2553.0008,1305.7662,,,,,
1561.5452,2403.9664,44.5519,0.7242,,2511.8036,1309.1819,,,,,
1579.29,2360.1907,45.3555,0.7172,,2469.1387,1312.6822,,,,,
1597.0349,2314.8686,46.1545,0.7094,,2424.9691,1316.2729,,,,,
1614.7797,2267.9626,46.9477,0.7009,,2379.2582,1319.9599,,,,,
1632.5245,2219.4337,47.7341,0.6915,,2331.9682,1323.7493,,,,,
1650.2694,2169.2425,48.5125,0.6812,,2283.0606,1327.6471,,,,,
1668.0142,2117.3501,49.2817,0.6701,,2232.4975,1331.6595,,,,,
1685.759,2063.7159,50.0407,0.658,,2180.2395,1335.7928,,,,,
1703.5039,2008.2992,50.7881,0.645,,2126.2468,1340.0533,,,,,
1721.2487,1951.0596,51.5228,0.631,,2070.4801,1344.4473,,,,,
1738.9935,1891.9552,52.2436,0.616,,2012.8987,1348.9815,,,,,
1752.5959,1845.3594,52.7858,0.6038,,1967.505,1352.5561,,,,,
1756.7384,,,,,1953.4613,,,,,,
1774.4832,,,,,1892.1272,,,,,,
